Entity,Code,Year,Moderate bleaching events (1-30% bleached),Severe bleaching events (>30% bleached)
Australasia,,1980,3,0
Australasia,,1981,1,0
Australasia,,1982,0,0
Australasia,,1983,3,1
Australasia,,1984,1,0
Australasia,,1985,0,0
Australasia,,1986,2,0
Australasia,,1987,1,1
Australasia,,1988,1,1
Australasia,,1989,0,0
Australasia,,1990,0,0
Australasia,,1991,0,1
Australasia,,1992,1,0
Australasia,,1993,0,1
Australasia,,1994,1,0
Australasia,,1995,1,1
Australasia,,1996,0,0
Australasia,,1997,2,0
Australasia,,1998,1,19
Australasia,,1999,2,0
Australasia,,2000,2,2
Australasia,,2001,3,0
Australasia,,2002,1,4
Australasia,,2003,0,1
Australasia,,2004,3,0
Australasia,,2005,5,1
Australasia,,2006,3,0
Australasia,,2007,2,2
Australasia,,2008,3,2
Australasia,,2009,3,0
Australasia,,2010,3,15
Australasia,,2011,2,3
Australasia,,2012,2,1
Australasia,,2013,1,1
Australasia,,2014,4,0
Australasia,,2015,1,2
Australasia,,2016,6,21
Indian Ocean/Middle East,,1980,0,0
Indian Ocean/Middle East,,1981,0,0
Indian Ocean/Middle East,,1982,0,0
Indian Ocean/Middle East,,1983,1,3
Indian Ocean/Middle East,,1984,0,0
Indian Ocean/Middle East,,1985,0,0
Indian Ocean/Middle East,,1986,0,0
Indian Ocean/Middle East,,1987,0,4
Indian Ocean/Middle East,,1988,0,0
Indian Ocean/Middle East,,1989,0,0
Indian Ocean/Middle East,,1990,0,0
Indian Ocean/Middle East,,1991,0,0
Indian Ocean/Middle East,,1992,0,0
Indian Ocean/Middle East,,1993,0,0
Indian Ocean/Middle East,,1994,0,0
Indian Ocean/Middle East,,1995,0,0
Indian Ocean/Middle East,,1996,1,1
Indian Ocean/Middle East,,1997,0,0
Indian Ocean/Middle East,,1998,4,17
Indian Ocean/Middle East,,1999,0,0
Indian Ocean/Middle East,,2000,1,0
Indian Ocean/Middle East,,2001,3,0
Indian Ocean/Middle East,,2002,3,3
Indian Ocean/Middle East,,2003,6,1
Indian Ocean/Middle East,,2004,4,2
Indian Ocean/Middle East,,2005,6,5
Indian Ocean/Middle East,,2006,0,0
Indian Ocean/Middle East,,2007,3,1
Indian Ocean/Middle East,,2008,0,0
