FullAttrName,ShapefileAttrName
Arb & Enc Soft Coral,ArbEncSC
Arborescent Soft Coral,ArbSC
Bottlebrush Acropora,BottleAcro
Branching Acropora,BraAcro
Branching non-Acropora,BraNonAcro
Capitate Soft Coral,CapitateSC
Coralline algae,CoralAlgae
Dead coral (recent),DeadCoral
Digitate Acropora,DigitaAcro
Encrusting Acropora,EncAcro
Encrusting non-Acropora,EncNonAcro
Encrusting Soft Coral,EncSC
Foliose non-Acropora,FolNonAcro
Lobate Soft Coral,LobateSC
Massive non-Acropora,MasNonAcro
Massive Soft Coral,MasSC
Mushroom coral,Mushroom
Other organisms,OtherOrg
Solitary coral,SolitaryC
Submassive Acropora,SmAcro
Submassive non-Acropora,SmNonAcro
Tabulate Acropora,TabulaAcro
