"","REEF_NAME","SITE_NO","SITE_LAT","SITE_LONG","Abiotic","Arb & Enc Soft Coral","Arborescent Soft Coral","Bottlebrush Acropora","Branching Acropora","Branching non-Acropora","Capitate Soft Coral","Coralline algae","Dead coral (recent)","Digitate Acropora","Encrusting Acropora","Encrusting non-Acropora","Encrusting Soft Coral","Foliose non-Acropora","Lobate Soft Coral","Macroalgae","Massive non-Acropora","Massive Soft Coral","Millepora","Mushroom coral","Other organisms","Rubble","Sand","Soft coral","Solitary coral","Sponge","Submassive Acropora","Submassive non-Acropora","Tabulate Acropora","Turf algae","Unknown","Zoanthid"
"1","BOULT REEF",1,-23.74525,152.274683333333,0,2.5,0.7,0.3,1.3,0.4,0,11.2,0,0.6,0.1,7.1,0.5,0,0.1,0.5,2.6,0,1.1,0,0.6,0,0.1,0.7,0,0,0,1.5,33.5,34.1,0,0.5
"2","BOULT REEF",2,-23.7451833333333,152.2784,0,0.4,0.5,0,2.4,0.2,0.3,11.1,0.2,1.1,0,3.2,0,0,0,0.3,1.1,0.1,0.9,0,0.4,0,0,0.7,0,0.1,0,0,41,35.7,0,0.3
"3","BOULT REEF",3,-23.7459166666667,152.2825,0,0,0,0,0.3,0,0,14.6,0,2,0.4,4.3,0.1,0,0,0.4,1.5,0,0,0,0.1,0,0.7,0,0,0.2,0,0.4,18.2,56.8,0,0
"4","BROOMFIELD REEF",1,-23.2495666666667,151.94255,0,0.1,0,0,0.4,0,0,15.5,0,0.2,0.4,1.1,0.1,0,0,1.2,1.7,0,4.1,0,0.4,0,0,0.1,0,0.5,0,0.3,53.2,20.6,0,0.1
"5","BROOMFIELD REEF",2,-23.25245,151.94545,0,0.2,0.3,0,1.3,0.1,0,19.7,0.3,0.7,0,0.8,0.1,0,0,0.5,1.5,0.1,0.3,0,0.3,0,0,0.3,0,0.4,0,0,55.5,17.6,0,0
"6","BROOMFIELD REEF",3,-23.2573833333333,151.947133333333,0,0.5,5.5,0,7.9,1.5,3.5,9.2,0,0.2,6.6,5.3,0.1,5.7,0,1.5,2.3,0.1,0.1,0,0.1,0,0.6,13.3,0,1.3,3.1,1.7,9.8,19.8,0,0.3
"7","ERSKINE REEF",1,-23.4983333333333,151.774716666667,0,1.4,1.2,0.3,4.2,0,2.9,0.4,0.1,0.4,0,4.8,0,1.5,0,0.2,3.7,0,0,0,0,0,10.7,0.1,0,0.6,0,0.9,3.4,62.5,0,0
"8","ERSKINE REEF",2,-23.49845,151.7789,0,2.1,0.3,0.3,28,0,0.3,0.5,0,0.8,0,5.8,0.1,1.1,0,1.5,1.7,0,0.1,0,0.3,0,4.6,0.1,0,0.3,0,1.5,13,37.2,0,0
"9","ERSKINE REEF",3,-23.5001833333333,151.782316666667,0,2.8,0.5,0,4.2,0,2.6,0.3,0,0.4,0,2.3,0.2,1.8,0,0.8,5.1,0,0,0,0,0,6.9,0.6,0,0.1,0,1.6,9.7,59.6,0,0
"10","FAIRFAX ISLANDS REEF",1,-23.8481166666667,152.372383333333,0,1,0.1,0,0,0,0.2,12.5,0,0.8,0,3.5,0,0,0.1,1.6,1.5,0.1,0.4,0,0.1,0,0.7,0.6,0,0,0,1.2,2.5,72.6,0,0.5
