"","SPECIES","BOULT REEF.1","BOULT REEF.2","BOULT REEF.3","BROOMFIELD REEF.1","BROOMFIELD REEF.2","BROOMFIELD REEF.3","ERSKINE REEF.1","ERSKINE REEF.2","ERSKINE REEF.3","FAIRFAX ISLANDS REEF.1","FAIRFAX ISLANDS REEF.2","FAIRFAX ISLANDS REEF.3","HOSKYN ISLANDS REEF.1","HOSKYN ISLANDS REEF.2","HOSKYN ISLANDS REEF.3","LADY MUSGRAVE REEF.1","LADY MUSGRAVE REEF.2","LADY MUSGRAVE REEF.3","MAST HEAD REEF.1","MAST HEAD REEF.2","MAST HEAD REEF.3","NORTH REEF (NORTH).1","NORTH REEF (NORTH).2","NORTH REEF (NORTH).3"
"1","Acanthochromis polyacanthus",1.33333333333333,1.33333333333333,0,0,0,93.3333333333333,30.6666666666667,69.3333333333333,6.66666666666667,0,0,0,5.33333333333333,2.66666666666667,0,0,0,0,9.33333333333333,30.6666666666667,26.6666666666667,0,0,2.66666666666667
"2","Acanthurus albipectoralis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Acanthurus auranticavus",0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Acanthurus bariene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Acanthurus blochii",0,0,0.266666666666667,0,0,1.06666666666667,5.06666666666667,1.33333333333333,1.33333333333333,0,0,0.8,0,1.33333333333333,0.8,0,0,0.266666666666667,0.533333333333333,2.4,0.8,0,0,0
"6","Acanthurus dussumieri",0,0,0.266666666666667,0,0,2.4,6.66666666666667,5.06666666666667,4.8,0,0,0.533333333333333,0,0,6.4,0,0,0.533333333333333,0.8,0.533333333333333,0.8,0.533333333333333,1.86666666666667,0
"7","Acanthurus grammoptilus",0,0,0,0,0,5.33333333333333,1.86666666666667,0.533333333333333,2.13333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Acanthurus lineatus",0,1.6,0,0,0,0,0,0,0,0,0,4.8,0.266666666666667,0,0,0,0,0.266666666666667,0,0,0,0,0,0
"9","Acanthurus maculiceps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Acanthurus mata",0,0.533333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Acanthurus nigricans",0,0.266666666666667,0,0,0,0.8,0,0,0,0,0.533333333333333,0.266666666666667,1.86666666666667,1.33333333333333,0.266666666666667,0,0,0,0,0,0,0,0,0.266666666666667
"12","Acanthurus nigricauda",0.266666666666667,0,0,0,0,0.266666666666667,0,0,0.266666666666667,0,0,0,0,0.533333333333333,0,0,0,0,0,0,0,0,0,0
"13","Acanthurus nigrofuscus",4.8,4.8,37.0666666666667,10.9333333333333,5.33333333333333,1.86666666666667,0,0,0.266666666666667,16,25.8666666666667,12.2666666666667,17.0666666666667,49.0666666666667,18.1333333333333,13.3333333333333,26.6666666666667,36,0,0,0,5.33333333333333,11.7333333333333,4.53333333333333
"14","Acanthurus nigros",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Acanthurus olivaceus",0,0,2.13333333333333,0.266666666666667,0,0,0,0,0,2.4,0.266666666666667,0,0,4.26666666666667,2.13333333333333,0,0,1.06666666666667,0,0,0,1.06666666666667,0.533333333333333,0
"16","Acanthurus pyroferus",1.06666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Acanthurus spp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Acanthurus thompsoni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Acanthurus triostegus",0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0.533333333333333,0,0,0,0,0,0,0
"20","Acanthurus xanthopterus",0,0.266666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266666666666667,0,0,0,0,0,0
"21","Aethaloperca rogaa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Amblyglyphidodon aureus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Amblyglyphidodon curacao",1.33333333333333,0,0,0,0,0,0,5.33333333333333,0,0,0,0,10.6666666666667,0,0,0,0,0,1.33333333333333,0,0,0,0,0
"24","Amblyglyphidodon leucogaster",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Amphiprion akindynos",0,5.33333333333333,0,0,0,0,0,0,0,2.66666666666667,4,0,0,0,0,0,5.33333333333333,9.33333333333333,0,0,0,2.66666666666667,1.33333333333333,0
"26","Amphiprion chrysopterus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","Amphiprion clarkii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Amphiprion melanopus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","Amphiprion percula",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Amphiprion perideraion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","Anyperodon leucogrammicus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","Aprion virescens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","Bolbometopon muricatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Calotomus carolinus",0,0,0,0,0,0,0,0,0,0,0.266666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","Cephalopholis argus",0.533333333333333,0,0,0.266666666666667,0.266666666666667,0,0,0,0,0,0.8,1.06666666666667,0.266666666666667,0.266666666666667,0,0,0,0,0,0,0,0,0,0
"36","Cephalopholis boenak",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","Cephalopholis cyanostigma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","Cephalopholis hemistiktos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","Cephalopholis microprion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","Cephalopholis miniata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","Cephalopholis sexmaculata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","Cephalopholis urodeta",0,0,0,0,0,0,0,0,0.266666666666667,0,0,0,0,0,0,0,0,0,0,0,0.266666666666667,0,0,0
"43","Cetoscarus ocellatus",0,0,0,0,0,0.266666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","Chaetodon aureofasciatus",0,0,0,0.266666666666667,0,0,0.533333333333333,4,0.8,0,0,0,0,0,0,0,0,0,0,0.533333333333333,0,0,0,0
"45","Chaetodon auriga",0,0,0,0,0,0,1.33333333333333,0.266666666666667,0,0.8,0,0,0,0.266666666666667,0.266666666666667,0,0,0,0.266666666666667,0.266666666666667,0,0.266666666666667,0,0.266666666666667
"46","Chaetodon baronessa",0.533333333333333,0,0,0,0,0,0.266666666666667,0,0,0,0,0.533333333333333,0,0,0,0,0,0,0,0,0,0,0,1.06666666666667
"47","Chaetodon bennetti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","Chaetodon citrinellus",1.06666666666667,0.533333333333333,3.73333333333333,4,0.533333333333333,0.266666666666667,0,0,0,0,0.533333333333333,1.06666666666667,1.33333333333333,2.13333333333333,1.33333333333333,1.33333333333333,2.13333333333333,1.6,0,0,0,0,1.86666666666667,1.33333333333333
"49","Chaetodon ephippium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.533333333333333,0,0,0,0,0,0,0,0
"50","Chaetodon flavirostris",0.266666666666667,0,0,0.266666666666667,0.533333333333333,1.33333333333333,0.533333333333333,0.266666666666667,1.6,0,0,0,1.06666666666667,0,0.8,0,0,0.266666666666667,0.266666666666667,0.266666666666667,0.266666666666667,0.266666666666667,1.06666666666667,0.266666666666667
"51","Chaetodon kleinii",0.533333333333333,2.13333333333333,0.8,2.66666666666667,2.66666666666667,0,0,0,0,0.266666666666667,0,0.266666666666667,0.533333333333333,0,0,1.86666666666667,0.533333333333333,1.86666666666667,0,0,0,0.8,2.13333333333333,5.06666666666667
