Entity,Code,Year,Number of threatened species
Green Algae,,2020,0
Horseshoe Crabs,,2020,2
Brown Algae,,2020,6
Red Algae,,2020,9
Velvet Worms,,2020,9
Lichens,,2020,48
Other Invertebrates,,2020,148
Mosses,,2020,165
Mushrooms etc.,,2020,185
Arachnids,,2020,203
Corals,,2020,237
Fungi and Protists,,2020,239
Ferns and Allies,,2020,265
Gymnosperms,,2020,403
Crustaceans,,2020,742
Mammals,,2020,1317
Reptiles,,2020,1449
Birds,,2020,1481
Insects,,2020,1848
Molluscs,,2020,2300
Amphibians,,2020,2390
Fishes,,2020,3040
Invertebrates,,2020,5489
Vertebrates,,2020,9677
Flowering Plants,,2020,19518
Plants,,2020,20360
All groups,,2020,35765
